BillNum,ShortTitle,HouseSponsor,HouseAddSponsor,HouseCoSponsor,SenateSponsor,SenateAddSponsor,Textbox16
HB22-1206,Prohibit Discriminatory Practices In Schools,Williams,,,,,
HB22-1207,Choice In Low-performing School Districts,Woog,,,,,
HB22-1208,Jail Data Collection Clean-up,"Weissman, McKean",,"Amabile, Bacon, Bernett, Cutter, Gray, Jodeh, Lindsay, Ricks, Snyder",Lee,,"Gonzales, Hansen, Moreno, Rankin"
HB22-1209,Sunset Strategic Action Planning Group On Aging,"Bradfield, Young","Amabile, Michaelson Jenet, Pelton","Bird, Bockenfeld, Cutter, Duran, Esgar, Exum, Froelich, Gray, Herod, Hooton, Jodeh, Kennedy, Lindsay, Lontine, McCluskie, Titone, Valdez A., Valdez D., Bacon, Benavidez, Bernett, Gonzales-Gutierrez, Kipp, McCormick, McLachlan, Ricks, Woodrow",Woodward,,Zenzinger
HB22-1210,Sunset Domestic Violence Management Board,"Benavidez, Duran",,"Bacon, Bernett, Boesenecker, Cutter, Esgar, Exum, Froelich, Gray, Herod, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McCluskie, Michaelson Jenet, Mullica, Ricks, Roberts, Sullivan, Titone, Valdez A., Weissman, Young",Winter,,"Buckner, Donovan, Fields, Ginal, Gonzales, Hansen, Jaquez Lewis, Kolker, Lee, Moreno, Pettersen, Rodriguez, Story, Zenzinger"
HB22-1211,Sunset Juvenile Justice Reform Committee,"Soper, Gonzales-Gutierrez",,"Duran, Exum, Gray, Hooton, Jodeh, Lontine, McCluskie, Ricks, Snyder, Van Winkle, Bacon, Lindsay","Lee, Gardner",,"Buckner, Gonzales, Lundeen, Pettersen, Story, Fenberg"
HB22-1212,Sunset Process Conveyance Regulation,"Ortiz, Williams","Cutter, Michaelson Jenet, Ricks","Sandridge, Sirota",Danielson,,
HB22-1213,Sunset Continue Regul Speech-language Pathologists,"Young, Pico","Jodeh, Michaelson Jenet","Boesenecker, Duran, Esgar, Exum, Gonzales-Gutierrez, Gray, Hooton, Lontine, McCluskie, Snyder, Valdez D.",Buckner,,"Fields, Ginal, Gonzales, Hansen, Kolker, Story"
HB22-1214,Behavioral Health Crisis Response System,"Young, Pelton",,"Bacon, Benavidez, Bernett, Bird, Bockenfeld, Caraveo, Cutter, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Herod, Hooton, Kipp, Lindsay, Lontine, McCluskie, McCormick, Ricks, Snyder, Sullivan, Titone, Valdez A., Valdez D., Will, Amabile, Boesenecker, Kennedy, McLachlan, Michaels","Kolker, Priola",,"Bridges, Buckner, Danielson, Ginal, Gonzales, Lee, Moreno, Pettersen, Simpson, Story, Winter, Zenzinger, Fenberg"
HB22-1215,Study Of Expanding Extended High School Programs,"McCluskie, Bacon",,"Amabile, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Duran, Esgar, Exum, Gonzales-Gutierrez, Herod, Hooton, Jodeh, Lindsay, Lontine, McCormick, McLachlan, Michaelson Jenet, Mullica, Ricks, Sullivan, Titone, Valdez A., Valdez D., Young",Bridges,,"Buckner, Ginal, Hinrichsen, Lee, Pettersen, Winter"
HB22-1216,Uniform Restrictive Employment Agreement Act,Tipper,,,Bridges,,
HB22-1217,Catalytic Converter Records And Grant Program,"Benavidez, Bockenfeld",,"Bernett, Bird, Boesenecker, Caraveo, Cutter, Esgar, Froelich, Gray, Hooton, Kennedy, Kipp, Lindsay, Lontine, McCluskie, Michaelson Jenet, Mullica, Ortiz, Ricks, Roberts, Titone, Valdez A., Valdez D., Weissman, Woodrow, Garnett, Exum, Herod, Sirota",Ginal,,"Buckner, Danielson, Hansen, Holbert, Pettersen, Rodriguez, Story, Winter, Zenzinger"
HB22-1218,Resource Efficiency Buildings Electric Vehicles,Valdez A.,,"Bacon, Benavidez, Bernett, Boesenecker, Cutter, Exum, Froelich, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, Michaelson Jenet, Sirota, Tipper, Titone, Woodrow, Amabile, McCormick, McLachlan, Ricks","Winter, Priola",,"Hansen, Jaquez Lewis, Moreno, Pettersen, Story"
HB22-1219,Veterans Resource Info Clearinghouse Online Portal,"Duran, Ortiz",,,Pettersen,,
HB22-1220,Removing Barriers To Educator Preparation,"Kipp, McLachlan",,"Bacon, Bernett, Bird, Boesenecker, Caraveo, Cutter, Duran, Esgar, Exum, Froelich, Herod, Hooton, Jodeh, Kennedy, Lindsay, Lontine, McCluskie, McCormick, Michaelson Jenet, Ortiz, Ricks, Roberts, Titone, Valdez D., Young, Garnett, Daugherty, Gonzales-Gutierrez","Zenzinger, Coram",,"Bridges, Buckner, Coleman, Danielson, Donovan, Ginal, Hinrichsen, Holbert, Kolker, Lee, Moreno, Pettersen, Story, Winter, Fenberg"
HB22-1221,County Coroner & Mortuary Mental Health Program,Michaelson Jenet,,"Bacon, Bernett, Boesenecker, Caraveo, Cutter, Esgar, Exum, Gonzales-Gutierrez, Hooton, Jodeh, Lindsay, Lontine, McCluskie, McLachlan, Ricks, Roberts, Sirota, Titone, Valdez A., Woodrow, Young",Fields,,
HB22-1222,Marijuana Responsible Vendor Designations,Tipper,,"Bird, Gray, Jodeh, Lindsay, Mullica, Ricks, Snyder, Titone","Holbert, Rodriguez",,"Gonzales, Moreno"
HB22-1223,Mobile Home Prop Tax Sale Notice & Exemption,"Kipp, Rich",,"Amabile, Bacon, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Cutter, Daugherty, Exum, Gonzales-Gutierrez, Hooton, Jodeh, Kennedy, Lindsay, Lontine, McCormick, McLachlan, Michaelson Jenet, Sirota, Titone, Valdez A., Weissman, Young","Coram, Ginal",,"Bridges, Buckner, Danielson, Gonzales, Hinrichsen, Kolker, Pettersen, Story, Winter, Zenzinger"
HB22-1224,Public Benefits Theft,"Tipper, Soper",,"Bird, Bockenfeld, Boesenecker, Esgar, Froelich, Gonzales-Gutierrez, Hooton, Jodeh, Kennedy, Kipp, Lindsay",Gonzales,,"Buckner, Hansen, Hinrichsen, Lee, Moreno, Rodriguez, Winter, Fenberg"
HB22-1225,Sunset Continue Colorado Resiliency Office,"Hooton, Will","Bernett, Cutter, Froelich, Titone, Weissman","Bird, Gray, Jodeh, Lindsay, McCluskie, Ricks, Woodrow","Fenberg, Jaquez Lewis",,"Bridges, Buckner, Fields, Ginal, Gonzales, Hansen, Lee, Moreno, Pettersen, Story, Winter"
HB22-1226,Sunset Massage Therapists,"Tipper, Carver",,"Bird, Duran, Herod, McCluskie, Valdez D.","Jaquez Lewis, Cooke",,
HB22-1227,Sunset Health-care Work Force Data Advisory Group,Mullica,"Lontine, McCormick, Titone","Esgar, Exum",Smallwood,,
HB22-1228,Sunset Continue Regulate Preneed Funeral Contracts,"Roberts, Bockenfeld",,"Duran, Lindsay, Lontine, Ricks, Snyder, Soper, Cutter, Herod, Kipp, McCluskie, Ortiz, Valdez D.",Coram,,"Donovan, Gonzales"
HB22-1229,Senate Bill 21-271 Clean-up,"Weissman, Soper",,"Gray, Ricks, Snyder, Woodrow, Lindsay, Michaelson Jenet","Gardner, Gonzales",,Lee
HB22-1230,Employment Support And Job Retention Services,"Duran, Exum",,"Amabile, Bacon, Benavidez, Bird, Boesenecker, Caraveo, Cutter, Daugherty, Esgar, Froelich, Herod, Hooton, Jodeh, Lindsay, Lontine, McCluskie, Michaelson Jenet, Mullica, Sirota, Titone, Valdez D., Woodrow, Young, Garnett","Fields, Priola",,"Bridges, Jaquez Lewis, Lee, Pettersen, Story, Winter"
HB22-1231,Foster Parent Bill Of Rights,"Van Beber, Valdez D.",,"Baisley, Bernett, Boesenecker, Carver, Duran, Esgar, Exum, Geitner, Gray, Herod, Hooton, Kipp, Luck, McCluskie, McKean, Michaelson Jenet, Neville, Ortiz, Pelton, Ricks, Roberts, Sandridge, Snyder, Titone, Williams, Young, Bird, Caraveo, Daugherty, McCormick, Mullica, Pico, Ransom, Will","Hisey, Fields",,"Buckner, Danielson, Ginal, Gonzales, Hansen, Holbert, Kirkmeyer, Kolker, Lee, Liston, Moreno, Pettersen, Priola, Rankin, Smallwood, Sonnenberg, Story, Winter, Woodward, Zenzinger, Fenberg"
HB22-1232,Sunset Continue Regulation Of Asbestos,"Valdez A., Titone","Bernett, Cutter, Froelich","Gray, Hooton, Jodeh, Lindsay, Ricks, Snyder, Weissman, Lontine, Mullica",Gonzales,,"Buckner, Donovan, Fields, Ginal, Jaquez Lewis, Kolker, Lee, Moreno, Rodriguez, Story, Winter"
HB22-1233,Sunset Continue Regulation Of Optometry,"Lontine, Soper","McCormick, Ortiz, Titone","Baisley, Bernett, Boesenecker, Duran, Holtorf, Hooton, Jodeh, Kipp, Lindsay, McLachlan, Valdez A., Valdez D., Will, Bird, Catlin, Daugherty, Ricks, Sullivan","Simpson, Ginal",,"Gonzales, Jaquez Lewis, Lee, Story"
HB22-1234,Preventing Identity-based Violence Grant Program,"Bacon, Michaelson Jenet",,"Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Hooton, Jodeh, Kipp, Lindsay, Lontine, Sirota, Sullivan, Titone, Valdez A., Valdez D., Weissman, Woodrow",Rodriguez,,"Buckner, Danielson, Donovan, Gonzales, Jaquez Lewis, Lee, Moreno, Pettersen, Story, Winter"
HB22-1235,Sunset Continue Regulation Of Veterinary Practice,"McCormick, Catlin","Holtorf, Lontine, Lynch, McLachlan, Pelton, Roberts, Titone, Valdez D., Will","Bernett, Bird, Cutter, Duran, Esgar, Gonzales-Gutierrez, Gray, Jodeh, Kipp, Lindsay, McCluskie, Mullica, Pico",Ginal,,Lee
HB22-1236,Parents Bill Of Rights,Van Beber,"Holtorf, Luck, Lynch, Neville, Pelton, Pico, Ransom, Rich",,,,
HB22-1237,Changes To County Court Judges In Western Colorado,"Roberts, Will",,"Amabile, Bacon, Daugherty, Gray, Lynch, McLachlan, Ricks, Soper","Rankin, Donovan",,"Gonzales, Kolker, Lee, Rodriguez, Simpson"
HB22-1238,Elected Officials Approve Epidemic Duties,Lynch,"Pelton, Pico, Roberts, Van Beber, Will",,Woodward,Hisey,
HB22-1239,Regulate Community Association Managers,Titone,,,,,
HB22-1240,Mandatory Reporters,"Froelich, Young",,"Amabile, Bernett, Boesenecker, Cutter, Gonzales-Gutierrez, Hooton, Jodeh, Kipp, Lindsay, Lontine, Michaelson Jenet, Ricks, Sullivan, Titone, Valdez A.","Fields, Simpson",,"Buckner, Cooke, Danielson, Hansen, Lee, Pettersen, Rodriguez, Story, Fenberg"
HB22-1241,CASA Special License Plate,Bird,,"Bockenfeld, Cutter, Hooton, Lindsay, Lontine, Michaelson Jenet, Sandridge, Williams, Young",Lee,,Moreno
HB22-1242,Regulate Tiny Homes Manufacture Sale & Install,"Kipp, Exum",,"Benavidez, Bernett, Bird, Boesenecker, Cutter, Daugherty, Duran, Esgar, Froelich, Herod, Hooton, Jodeh, Kennedy, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Ortiz, Sirota, Snyder, Sullivan, Titone, Valdez A.","Ginal, Hisey",,"Bridges, Buckner, Donovan, Hinrichsen, Jaquez Lewis, Lee, Liston, Moreno, Priola, Rodriguez, Winter, Woodward, Zenzinger, Fenberg"
HB22-1243,Sch Security and Sch Behavioral Hlth Servs Funding,"Exum, Van Winkle",,"Bacon, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Duran, Esgar, Gonzales-Gutierrez, Gray, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, Michaelson Jenet, Ortiz, Ricks, Roberts, Sirota, Snyder, Titone, Valdez A., Valdez D., Weissman, Young, Garnett, Herod, Daugherty","Kolker, Hinrichsen",,"Bridges, Buckner, Coleman, Cooke, Coram, Danielson, Donovan, Fields, Ginal, Gonzales, Hansen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Lee, Moreno, Pettersen, Priola, Rankin, Rodriguez, Smallwood, Sonnenberg, Story, Winter, Woodward, Zenzinger, Fenberg"
HB22-1244,Public Protections From Toxic Air Contaminants,"Kennedy, Gonzales-Gutierrez",,"Amabile, Bacon, Benavidez, Bernett, Boesenecker, Caraveo, Cutter, Exum, Froelich, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCormick, Michaelson Jenet, Ricks, Sirota, Tipper, Titone, Valdez A., Weissman, Woodrow, Bird, Herod, Garnett",Gonzales,,"Buckner, Danielson, Donovan, Ginal, Hansen, Jaquez Lewis, Kolker, Lee, Moreno, Pettersen, Story, Winter, Fenberg"
HB22-1245,Foster Youth In Transition Program Clarifications,"Daugherty, Van Beber",,"Bacon, Bernett, Bird, Boesenecker, Duran, Exum, Gray, Herod, Hooton, Jodeh, Kennedy, Kipp, Lindsay, McCluskie, Mullica, Ricks, Snyder, Titone, Valdez D., Woodrow",Zenzinger,,"Buckner, Ginal, Gonzales, Lee, Pettersen, Priola, Rankin, Fenberg"
HB22-1246,Hospice Inpatient Unit Specialized Rx Drug Outlet,Lontine,,"Bernett, Bird, Boesenecker, Carver, Cutter, Duran, Herod, Hooton, Jodeh, Kipp, Lindsay, McCormick, Michaelson Jenet, Sandridge, Snyder, Titone, Valdez A., Pico",Buckner,,"Fields, Ginal, Gonzales, Jaquez Lewis, Moreno"
HB22-1247,Additional Requirements Nursing Facility Funding,"Herod, McCluskie",Ransom,"Bernett, Bird, Bockenfeld, Boesenecker, Caraveo, Cutter, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Hooton, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McCormick, McLachlan, Michaelson Jenet, Mullica, Ricks, Soper, Titone, Valdez A., Valdez D., Woodrow, Young","Hansen, Rankin",Moreno,"Buckner, Cooke, Fields, Ginal, Kirkmeyer, Lee, Liston, Pettersen, Priola, Smallwood, Story, Woodward, Zenzinger"
HB22-1248,Extend School Leadership Pilot Program,"McLachlan, Ortiz",,"Amabile, Bacon, Bernett, Bird, Boesenecker, Caraveo, Cutter, Esgar, Exum, Gonzales-Gutierrez, Hooton, Jodeh, Kipp, Lindsay, McCluskie, Michaelson Jenet, Ricks, Titone, Valdez D., Woodrow, Young","Simpson, Zenzinger",,"Bridges, Buckner, Ginal, Lee, Moreno, Priola, Story, Winter"
HB22-1249,Electric Grid Resilience & Reliability Roadmap,"Bernett, Hooton",,"Amabile, Bird, Boesenecker, Caraveo, Cutter, Froelich, Gray, Herod, Jodeh, Kipp, Lindsay, McCormick, Michaelson Jenet, Snyder, Titone, Valdez A., Weissman","Rankin, Hansen",,"Bridges, Buckner, Coleman, Coram, Fields, Gonzales, Jaquez Lewis, Lee, Moreno, Pettersen, Priola, Simpson, Story, Winter, Woodward, Fenberg"
HB22-1250,Nonsubstantive Changes To Title 7 Of CRS,"Woodrow, Pico","Lynch, Valdez D.","Gray, Hooton","Zenzinger, Woodward","Kirkmeyer, Moreno",Priola
HB22-1251,Cardiac Arrest Management,Roberts,,"Bernett, Bird, Exum, Herod, Jodeh, Lindsay, Lontine, McCluskie, Michaelson Jenet, Ricks, Snyder, Valdez A., Valdez D., Young",Bridges,,"Donovan, Ginal, Hansen"
HB22-1252,Public School Contract Terms & Conditions,Bernett,,"Bird, Boesenecker, Esgar, Gray, Hooton, Jodeh, Kipp, Lindsay, McCormick, Ricks","Kirkmeyer, Jaquez Lewis",,Fields
HB22-1253,Adaptive Equipment In Rental Motor Vehicles,Ortiz,,"Bacon, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Duran, Exum, Froelich, Gonzales-Gutierrez, Gray, Hooton, Jodeh, Lindsay, McCormick, McLachlan, Michaelson Jenet, Ricks, Sirota, Snyder, Sullivan, Titone, Valdez D., Weissman, Woodrow, Young, Amabile, Esgar, Herod, Lontine",Danielson,,"Buckner, Fields, Ginal, Gonzales, Jaquez Lewis, Kolker, Lee, Moreno, Pettersen, Priola, Rodriguez, Story, Winter, Fenberg"
HB22-1254,Vehicle Taxes & Fees Late Registration,Valdez A.,,"Benavidez, Hooton, Jodeh, Lindsay, Ricks, Valdez D.","Winter, Priola",,"Kolker, Moreno"
HB22-1255,Improve Higher Ed For Students With A Disability,"Ortiz, Bradfield",Larson,"Amabile, Bacon, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Herod, Jodeh, Kennedy, Kipp, Lontine, McCluskie, McCormick, McKean, McLachlan, Michaelson Jenet, Roberts, Sirota, Snyder, Titone, Valdez A., Valdez D., Weis","Zenzinger, Kirkmeyer",,"Bridges, Buckner, Cooke, Coram, Danielson, Donovan, Fields, Gardner, Ginal, Gonzales, Hinrichsen, Hisey, Holbert, Jaquez Lewis, Kolker, Liston, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Story, Winter, Woodward, Fenberg"
HB22-1256,Modifications To Civil Involuntary Commitment,"Amabile, McCluskie",Pelton,"Bacon, Benavidez, Bernett, Bird, Boesenecker, Cutter, Duran, Esgar, Froelich, Gonzales-Gutierrez, Herod, Hooton, Jodeh, Kennedy, Kipp, Lindsay, McCormick, Michaelson Jenet, Ricks, Sirota, Valdez A., Woodrow, Young","Moreno, Gardner",,"Bridges, Buckner, Fields, Ginal, Gonzales, Hansen, Jaquez Lewis, Kolker, Lee, Pettersen, Rankin, Story, Winter"
HB22-1257,2022 Criminal & Juv Justice Commn Recommendations,"Weissman, Soper",,"Gray, Jodeh, Lindsay, Michaelson Jenet, Ricks, Snyder, Garnett, Benavidez","Gonzales, Gardner",,"Lee, Moreno"
HB22-1258,Essential Services For Youth Special Districts,Bird,,,"Zenzinger, Priola",,
HB22-1259,Modifications To Colorado Works Program,"Duran, Jodeh","Froelich, Lontine","Amabile, Bacon, Bernett, Bird, Boesenecker, Esgar, Exum, Gonzales-Gutierrez, Herod, Kipp, Lindsay, McCluskie, Michaelson Jenet, Mullica, Sirota, Titone, Valdez A., Benavidez, Hooton",Moreno,Story,"Fields, Gonzales, Hansen, Lee, Pettersen, Rodriguez, Winter"
HB22-1260,Access To Medically Necessary Serv For Students,Froelich,,"Bernett, Boesenecker, Caraveo, Cutter, Duran, Exum, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, Michaelson Jenet, Mullica, Ortiz, Pico, Ricks, Titone, Valdez A., Young","Simpson, Fields",,"Buckner, Coram, Danielson, Donovan, Ginal, Gonzales, Holbert, Kolker, Lee, Liston, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Sonnenberg, Winter, Fenberg"
HB22-1261,Sunset Board Of Real Estate Appraisers,"Roberts, Ricks",Snyder,"Jodeh, Lindsay, McLachlan","Hansen, Priola",,
HB22-1262,Sunset Continue Workers Comp Regulations,"Sullivan, Snyder",,"Bird, Duran, Esgar, Froelich, Gray, Herod, Lindsay","Rodriguez, Cooke",,"Danielson, Gonzales, Jaquez Lewis, Kolker, Moreno, Pettersen, Priola"
HB22-1263,Sunset Continue Licensure Of Acupuncturists,Kennedy,"Lontine, McCormick","Lindsay, McLachlan",Buckner,,"Ginal, Gonzales, Jaquez Lewis, Lee"
HB22-1264,Change Food And Drug Administration To FDA,"Valdez D., Woodrow","Lynch, Pico","Boesenecker, Esgar, Exum, Jodeh, Snyder","Moreno, Woodward","Kirkmeyer, Zenzinger",Priola
HB22-1265,Sunset Education Data Advisory Committee,Exum,,"Jodeh, Kipp, McCluskie, Ricks",Bridges,,Donovan
HB22-1266,State Employee Total Compensation Philosophy,"Tipper, Gray",,"Amabile, Bacon, Bernett, Bird, Boesenecker, Duran, Esgar, Gonzales-Gutierrez, Herod, Hooton, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McCluskie, McCormick, Mullica, Ricks, Sirota, Titone, Valdez A., Valdez D., Weissman, Woodrow, Garnett, Benavidez",Winter,,"Buckner, Donovan, Fields, Ginal, Gonzales, Hansen, Hinrichsen, Jaquez Lewis, Kolker, Lee, Moreno, Pettersen, Story, Fenberg"
HB22-1267,Culturally Relevant Training Health Professionals,"Valdez A., Boesenecker","Michaelson Jenet, Amabile, Bacon, Bernett, Caraveo, Cutter, Duran, Froelich, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Kennedy, Kipp, Lontine, McCormick, McLachlan, Mullica, Sirota, Sullivan, Titone, Young","Benavidez, Bird, Esgar, Exum, Lindsay, McCluskie, Ortiz, Ricks, Weissman, Woodrow","Ginal, Fields",,"Buckner, Jaquez Lewis, Lee, Moreno, Pettersen, Story, Winter, Zenzinger"
HB22-1268,Medicaid Mental Health Reimbursement Rates Report,"Holtorf, Amabile",,"Bernett, Bird, Boesenecker, Kipp, Lontine, Michaelson Jenet, Titone, Weissman","Ginal, Simpson",,"Hinrichsen, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Moreno, Rodriguez, Sonnenberg, Zenzinger, Fenberg"
HB22-1269,Health-care Sharing Plan Reporting Reqmnts,Lontine,,"Amabile, Bernett, Boesenecker, Caraveo, Hooton, Jodeh, Kipp, Lindsay, McCormick, Michaelson Jenet, Sirota, Titone, Woodrow",Hansen,,"Ginal, Jaquez Lewis, Moreno, Fenberg"
HB22-1270,Change Term Name-based Crim History Record Check,Woodrow,,"Catlin, Esgar, Gray, Herod, Jodeh, Mullica, Pico, Ricks, Snyder",Priola,,Moreno
HB22-1271,Rights Of Persons Protected By Legal Guardian,Ransom,,,,,
HB22-1272,Repeal Of Attorney Fees On Motions To Dismiss,"Gonzales-Gutierrez, Benavidez",,"Bird, Jodeh, Kennedy, Kipp, Lindsay, Snyder, Garnett, Bacon, Esgar, Exum, Herod, Ricks, Sirota","Gonzales, Rodriguez",,"Danielson, Jaquez Lewis, Fenberg"
HB22-1273,Protections For Elections Officials,"Duran, Sirota",,"Bacon, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Exum, Froelich, Gray, Herod, Hooton, Kipp, Lindsay, Lontine, McCluskie, Michaelson Jenet, Ortiz, Ricks, Snyder, Sullivan, Titone, Valdez D., Weissman, Woodrow, Young","Fenberg, Pettersen",,"Buckner, Fields, Gonzales, Hansen, Hinrichsen, Jaquez Lewis, Lee, Moreno, Story, Winter"
HB22-1274,Sunset CO Interagency Working Group On Sch Safety,"Michaelson Jenet, Larson",,"Bird, Boesenecker, Cutter, Duran, Froelich, Kipp, Lindsay, Mullica, Sirota, Van Beber, Weissman, Young, Carver, McCluskie, Titone",Gonzales,,"Bridges, Buckner, Fields, Ginal, Pettersen, Winter, Zenzinger, Fenberg"
HB22-1275,Sunset School Safety Resource Center Advisory Bd,"McLachlan, Larson",,"Bernett, Bird, Boesenecker, Cutter, Froelich, Jodeh, Lindsay, McCluskie, Ricks, Valdez D., Young",Fields,,Bridges
HB22-1276,Sunset Second Chance Scholarship Program,"Kipp, Exum",,"Bacon, Benavidez, Bird, Boesenecker, Cutter, Esgar, Jodeh, Lindsay, McCluskie, McCormick, McLachlan, Mullica, Soper, Titone, Woodrow",Moreno,,"Buckner, Donovan, Ginal, Gonzales, Lee, Smallwood, Fenberg"
HB22-1277,Authorize Credit Unions To Hold Public Money,"Mullica, Neville","Herod, Jodeh",,Gonzales,"Scott, Sonnenberg",
HB22-1278,Behavioral Health Administration,"Young, Pelton",,"Amabile, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Kennedy, Kipp, Lindsay, McCluskie, McCormick, Michaelson Jenet, Mullica, Roberts, Sirota, Snyder, Sullivan, Titone, Valdez A., Valdez D.","Lee, Simpson",,"Bridges, Buckner, Danielson, Donovan, Fields, Ginal, Gonzales, Hansen, Hinrichsen, Jaquez Lewis, Kolker, Moreno, Pettersen, Priola, Rankin, Rodriguez, Story, Winter, Zenzinger, Fenberg"
HB22-1279,Reproductive Health Equity Act,"Froelich, Esgar","Amabile, Bacon, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Daugherty, Duran, Exum, Garnett, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Ortiz, Ricks, Roberts, Sirota, Snyder",Valdez D.,Gonzales,"Bridges, Buckner, Coleman, Danielson, Fenberg, Fields, Ginal, Hansen, Hinrichsen, Jaquez Lewis, Kolker, Lee, Pettersen, Rodriguez, Story, Winter, Zenzinger","Donovan, Moreno"
HB22-1280,Pikes Peak Community College Name Change,"Snyder, Exum",Bradfield,"Bacon, Bernett, Carver, Esgar, Geitner, Gray, Herod, Jodeh, Lindsay, Michaelson Jenet, Pico, Sandridge, Titone","Lundeen, Lee",,"Buckner, Hinrichsen, Story"
HB22-1281,Behavioral Health-care Continuum Gap Grant Program,"Gonzales-Gutierrez, Ricks","Amabile, Bradfield, Michaelson Jenet, Van Beber","Bacon, Benavidez, Bernett, Bird, Boesenecker, Cutter, Duran, Esgar, Exum, Froelich, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, Mullica, Ortiz, Sirota, Titone, Valdez A., Valdez D., Weissman, Woodrow, Young, Caraveo, McLachlan","Winter, Rankin",,"Buckner, Danielson, Donovan, Fields, Gonzales, Hansen, Hinrichsen, Jaquez Lewis, Kolker, Lee, Moreno, Pettersen, Rodriguez, Simpson, Story, Zenzinger, Fenberg"
HB22-1282,The Innovative Housing Incentive Program,"Mullica, Lynch","Jodeh, Pico, Roberts, Woodrow, Woog","Amabile, Benavidez, Bernett, Bird, Boesenecker, Cutter, Duran, Esgar, Exum, Froelich, Kennedy, Kipp, Lindsay, Lontine, McCluskie, McCormick, Ortiz, Snyder, Tipper, Titone, Valdez A., Valdez D., Weissman, Garnett","Bridges, Woodward",,"Buckner, Donovan, Fields, Ginal, Gonzales, Hansen, Jaquez Lewis, Kolker, Pettersen, Rankin, Rodriguez, Scott, Story, Winter, Fenberg"
HB22-1283,Youth & Family Behavioral Health Care,"Michaelson Jenet, Bradfield","Amabile, Gonzales-Gutierrez","Bacon, Benavidez, Bird, Boesenecker, Caraveo, Cutter, Daugherty, Esgar, Exum, Froelich, Gray, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Mullica, Ortiz, Roberts, Sirota, Snyder, Sullivan, Titone, Valdez A., Valdez D., Weissman, Woodrow, Young, Garnet","Buckner, Priola",,"Gonzales, Hansen, Lee, Simpson, Zenzinger, Fenberg"
HB22-1284,Health Ins Surprise Billing Protections,"Esgar, Catlin",,"Amabile, Bacon, Bernett, Bird, Bockenfeld, Boesenecker, Caraveo, Carver, Daugherty, Duran, Exum, Geitner, Gonzales-Gutierrez, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Ortiz, Pelton, Roberts, Sandridge","Gardner, Pettersen",,"Bridges, Buckner, Coram, Donovan, Ginal, Gonzales, Hansen, Hinrichsen, Hisey, Holbert, Jaquez Lewis, Kolker, Lee, Lundeen, Moreno, Priola, Rankin, Rodriguez, Smallwood, Sonnenberg, Story, Winter, Woodward, Zenzinger, Fenberg"
